id,host_id,number_of_reviews,raw_rating,m0_unpooled,m1_approachA,m2_approachB,m3_approachC
1698947,8946958,18,4.94,4.888695784718203,4.73941056530546,4.807994495383328,4.812290959698888
2609150,13363520,139,4.91,4.907102701934834,4.879446160081022,4.885858729901686,4.863891491653679
2673638,13688311,12,4.92,4.831642913651941,4.698409782137039,4.766337600245159,4.775261756078822
2717379,13906062,18,4.89,4.839275067268202,4.7269848907054595,4.804368268718041,4.796504355607571
2971667,8318906,13,4.83,4.769114502391282,4.682871272104444,4.688143934448899,4.751329741717831
2982405,4028454,31,4.9,4.874433282037502,4.774405809256992,4.801975098332943,4.830098092866952
3342979,16074957,81,4.74,4.733748835913441,4.747893639190118,4.76709519362174,4.757647655602052
3736930,4814458,2,5,4.507331184685251,4.5499829569729835,4.57243150251567,4.654025917244377
3393633,7248019,44,4.93,4.911501693061194,4.819518057609415,4.83767952353995,4.901123006823807
3806681,2981012,204,4.84,4.8382315019592825,4.8357951902404945,4.841069584623023,4.854221689340268
3437352,2403696,1,4,3.786624457622537,4.480654335325166,4.498260637653483,4.582341556010151
3444369,17228136,5,4.8,4.617088030263805,4.605017291364334,4.674850585910143,4.7748132558211775
3538401,8700264,46,5,4.9779151976252605,4.853384255251496,4.87761599923755,4.911672627104614
4390181,22791764,8,4.5,4.425356827385679,4.599424196393619,4.610560501139296,4.693930820767038
4297865,115774,12,4.67,4.6120662876269405,4.645802388462039,4.675042683207097,4.634642703747418
4976793,7248019,21,5,4.95299649287384,4.77452509013002,4.820257368447664,4.868114387955718
5457340,13400856,5,4.8,4.625033358513805,4.603551444514334,4.677667914681031,4.694306941762927
5005486,20073873,48,4.81,4.792760907552369,4.766405652707674,4.80332696940448,4.814914663197263
5535422,5387627,165,4.73,4.727641293781009,4.745018334919187,4.752133008541428,4.748197232170888
5118705,26454014,8,4.88,4.760549259435679,4.656286301993619,4.729880524375073,4.740872814531574
5171925,9398374,1,5,4.219714728547537,4.498392985925166,4.494372115814559,4.6164804605733405
5703538,29569385,111,4.91,4.903237624424746,4.868395863829349,4.887447023751451,4.89118570372933
5245889,27149926,2,5,4.495975958135251,4.549186894272983,4.5742422119286354,4.6564228855538214
5284390,23444987,5,4.6,4.468468275138805,4.590947553339334,4.528449131816564,4.666297424556552
5436699,20073873,211,4.89,4.889264953954888,4.8759032306673795,4.875670305337496,4.883775302282813
6116453,31607089,1,5,4.205555369597537,4.4989807829001665,4.5006944676353875,4.61663421487885
6601756,4687837,6,5,4.813260785864227,4.638076515514221,4.695772405784052,4.61783250507701
6606399,74155715,77,4.99,4.982657020058093,4.895078008927396,4.91090317705135,4.950021880673863
6161504,28554120,291,4.96,4.959214768934909,4.940824300621605,4.935074362858777,4.9553073234088325
6611391,3530023,100,4.94,4.9320551543055,4.883888123024137,4.901872851182209,4.908229694746156
6403143,33392199,17,5,4.935737435404879,4.748544606978622,4.7982567305727075,4.827327119167967
6445907,97874184,407,4.72,4.719070639058999,4.734619243351726,4.73626747481901,4.748906079464682
6479011,31781297,393,4.92,4.918660562022005,4.912959499297919,4.909339261153228,4.917543725144861
6852895,12145458,10,5,4.893272401101519,4.6937716333871515,4.747293460352427,4.781081585487807
7043283,36932917,11,5,4.903150020335766,4.702842666563781,4.761123273146547,4.790715410625799
6812223,81450735,31,4.81,4.791631121887502,4.742474059031992,4.799464854608351,4.817747854788398
7154129,591106,99,4.92,4.913941106593717,4.8700940944212565,4.879885488044503,4.894589180603171
7401562,22791764,1,5,4.236028885097537,4.499018246325166,4.492548582975517,4.599478451106492
7205121,4687837,9,4.67,4.596716633380489,4.633748330157642,4.628944513225858,4.635382452549413
6990435,36649833,2,5,4.504455088460251,4.5487618412229835,4.580201122001009,4.660286151237167
7028058,35658741,2,5,4.507558998235251,4.549125967997984,4.575697328662128,4.659374816440791
7944519,7617642,28,4.89,4.860369977845292,4.765625584509417,4.789846511547675,4.8195293870619995
7627724,20252170,243,4.73,4.730129059717417,4.7455336089063564,4.751403852645631,4.778648367767385
7856829,28831756,46,4.98,4.956986312550261,4.845557750601496,4.879408748009625,4.899010361135272
7882923,41554419,39,4.44,4.431939686420258,4.591031920420683,4.59808632810755,4.587422038978162
8269182,6748535,54,4.74,4.731042585797178,4.737112136796697,4.730269920144007,4.758529293846033
7899279,7887884,2,5,4.501783863435251,4.551942852422983,4.568568933275333,4.656993243879473
8619800,45343269,2,4.5,4.204157573385251,4.528141643947984,4.57033407274465,4.630069601027626
8387137,24121343,8,4.38,4.322569271335679,4.582348882418619,4.606665361014153,4.6358029663082005
8992745,22791764,1,4,3.7795331501825373,4.478316328825166,4.490010838391188,4.598944640767153
8434043,11659976,1,5,4.229560538622537,4.493747268200166,4.497243877437575,4.617801483751583
8456841,6349046,38,4.68,4.667946333035568,4.6944991468098705,4.717866008421799,4.731304939327164
8493759,503602,3,5,4.653400262076513,4.581312205516404,4.622493585690966,4.685769115971405
8863709,517480,4,5,4.728985954097965,4.6075924616708015,4.651017927605943,4.705682613377137
9146471,3296814,3,5,4.644952000426513,4.579976455441404,4.6209017130211265,4.686518607207807
9152682,3267176,12,4.83,4.757428357851941,4.676890639562039,4.6734699966812885,4.7393861302303435
9303277,48297073,25,4.96,4.925494028605073,4.777317982778502,4.831762320693739,4.841624047596566
9542660,2914052,1,5,4.219749479197537,4.495431661225166,4.489265519147328,4.611908968326069
9733986,50221198,1,5,4.213251936947537,4.495927351925166,4.491243915741973,4.6155860574642205
9804811,50519420,2,4.5,4.204204066685251,4.529702093647984,4.573145724545015,4.62518247710963
9821548,42793947,99,4.93,4.921637371793717,4.877193179546256,4.878199518768501,4.901871850515754
10131999,36614308,112,4.93,4.9248209678457195,4.883610202230052,4.889400349594978,4.904392798930332
10738655,361364482,293,4.66,4.660047150680311,4.687003084952975,4.679521901735182,4.679430015012682
10748886,36274475,2,5,4.504967042560251,4.547611380547984,4.5786510223210835,4.614189541331547
11135133,17444426,2,5,4.514503285985251,4.5496547594729835,4.5756898979652085,4.654927862168195
11150682,22791764,1,5,4.213417975872537,4.497742917075166,4.502677225008629,4.599478496912026
11153345,39335228,5,4.4,4.296469074463805,4.571162550864334,4.530959314833746,4.642966546948583
10690503,40854953,63,4.87,4.858267339527815,4.812174100571258,4.835251209503639,4.842981499291097
11177215,3536893,1,5,4.227528625522537,4.495851117500166,4.500192818610496,4.615061430481675
11504014,60601655,2,5,4.509536992735251,4.547210919922984,4.576974501692244,4.65537689960177
11507346,29528984,2,4,3.890715567935251,4.508398210922984,4.575057104325596,4.596336446822843
10982683,3523298,3,4.33,4.166749727101513,4.541462444941404,4.440197741985573,4.6267963156251275
11036889,13238776,1,5,4.218729380997537,4.500912881050166,4.500976722285167,4.614995107815505
11041305,17807680,193,4.89,4.888367013504881,4.873798913591622,4.882642301792429,4.884825866094785
12215622,6535081,1,5,4.227407082772537,4.498693764750166,4.491707992525681,4.617532281412124
12002470,48854001,49,4.69,4.677985347117191,4.710312630502398,4.709487953709995,4.726090647427159
12015726,58672229,177,4.81,4.807722224808765,4.808148974490051,4.821364014739075,4.860209931737009
12078745,12643783,121,4.52,4.519016509523994,4.597600965952394,4.563542414523288,4.555209779383995
12621887,36274475,54,4.74,4.728854093972179,4.738286795071698,4.729475133408812,4.765024329426642
12665364,42021183,2,5,4.502950983485251,4.548097971197984,4.571213888838115,4.657038726371771
12674593,68866520,46,4.91,4.894668098850261,4.812937865826496,4.841150700046479,4.859128207020574
12720598,56484140,35,4.97,4.941961913061132,4.8148052270529496,4.860831236309477,4.884228229548113
12729788,2941461,3,4.67,4.416419826526513,4.560445345216404,4.621646184527802,4.655763456571509
12938403,12643783,84,4.49,4.487659407849268,4.587117307975655,4.552002445307926,4.538469650207535
13152597,73200475,3,4.33,4.167596129701513,4.541067082191404,4.433080901578978,4.625355956207514
13406907,76333387,2,5,4.513489047735251,4.548803773347983,4.581981131737052,4.657896923538344
13512606,6965510,448,4.96,4.9591706029461475,4.950215439125687,4.947169803584195,4.966495451856368
13557864,54054404,440,4.58,4.581114390340175,4.609035304846401,4.601255520253556,4.599942368499091
13851334,7073354,2,5,4.5070910072852515,4.547856845297984,4.578963551255927,4.656971753193691
13880840,25636666,4,4.25,4.154424447672965,4.545976599945801,4.493519777897515,4.621677293129646
13622372,4167197,4,4.5,4.348208562822965,4.565169001245801,4.650473862174161,4.644300000550424
13912983,3135483,2,5,4.511582533185251,4.547819482247983,4.575196630123253,4.659731384506927
13993327,83127431,22,4.91,4.87453451667348,4.748586325536598,4.826386620453395,4.85326678786368
13922207,82651607,47,4.98,4.961736751446854,4.849799045075786,4.8818260653696,4.901562648996044
13957125,83127431,12,5,4.910847670626941,4.71116516733704,4.7697444648261005,4.825315784798221
13969326,11754890,65,4.95,4.93862042693255,4.860853762468612,4.8703715252620094,4.918583425451225
13970430,83288791,2,4,3.895571495035251,4.508860049572983,4.578172573107766,4.598195038423757
14559113,6965510,381,4.97,4.968482607165102,4.957456834158763,4.947546318858588,4.9620917423262005
14311410,87475436,51,4.96,4.944611102608855,4.84660671291986,4.850413150629907,4.925859075223374
14598476,90565975,13,4.77,4.710515678666282,4.671410360954445,4.68598158360911,4.6663672723491185
14318589,13774091,99,4.81,4.805549328393718,4.797763787371257,4.800571449282481,4.811322165126911
14345029,2123693,2,4.5,4.198750960435251,4.5301083798979835,4.573536010329489,4.623748702176291
14370540,11553333,9,4.56,4.5020232637804884,4.612379891257643,4.634641575073935,4.671212948681655
14397838,2353186,7,4.57,4.474937360794864,4.600935141663782,4.589401242343794,4.670954599932621
14399607,15795663,5,5,4.787460553513805,4.623443604489334,4.681442740618288,4.722932922347162
14467029,58672229,97,4.87,4.863893708205933,4.835045538780367,4.850958120309052,4.837935901892017
14511119,6965510,408,4.97,4.969019607346996,4.958486407038312,4.950240311196953,4.964820805214439
15049161,58672229,36,4.94,4.917929465730917,4.8059355398032775,4.818371045846166,4.793406128938764
15299945,60210023,52,4.77,4.759464149191711,4.75035361785008,4.769119629271829,4.775264520715843
14856632,64227554,6,5,4.813461980889227,4.640580427164221,4.696010981727074,4.735342626135888
15168139,29164037,68,4.9,4.890562532380306,4.834950071899256,4.8436476488481315,4.868154128958141
15490376,65711243,14,4.64,4.599060973982578,4.644879399961599,4.695829858947555,4.702552670161361
15529952,33270665,9,4.89,4.786878359755489,4.666067121832643,4.739823811402829,4.744786070816852
16250299,1515058,4,4.5,4.345032622322965,4.571310119570801,4.652643280904625,4.646848526937788
15868879,53807062,89,4.83,4.8222563839978285,4.806600806462895,4.813531114525566,4.841861724303701
15870232,53807062,13,4.85,4.779218107966282,4.686372737979444,4.774393966691973,4.754456271380445
16506138,65771837,9,4.22,4.1927579351054884,4.561101961632642,4.491449729478945,4.604496153116406
16716732,110787354,126,4.87,4.86653775981553,4.8470462881940755,4.856151954689285,4.8601994284557515
17101102,66247547,5,5,4.777208869863805,4.623264940414334,4.680728457729855,4.721967524468736
16868781,6349046,2,5,4.502931761860251,4.552535094822984,4.578407022807866,4.596929393601686
17137620,24057950,6,4.83,4.678515143289227,4.621048070539222,4.696872011344202,4.707379632788169
16912190,43476494,30,4.6,4.590115537255494,4.659578836128389,4.667883501833193,4.756931259073471
17427343,27610632,136,4.51,4.5102072831930204,4.584367564597074,4.555950653131188,4.5696564827754145
17664017,21652377,168,4.91,4.907462446236981,4.884599712923473,4.884312168243253,4.897826430666297
17697225,4851236,1,5,4.220714373497537,4.496514805100166,4.493301883404994,4.61723990002581
17757636,3973206,7,5,4.836799766144864,4.656980679963782,4.7103826158999915,4.749408732213419
18157949,123430216,1,5,4.223784758947537,4.496634667225166,4.500797066006228,4.613836248344718
17791876,121543312,37,4.62,4.608014274245771,4.6706538437131115,4.650218188097117,4.6896360159162205
17957328,95663309,2,4.5,4.193166937535251,4.532246009922984,4.572734762841985,4.630006257096649
18344241,9181232,13,4.54,4.499741809516283,4.623809078129445,4.68741382688879,4.66733037055001
18286412,21092552,12,4.92,4.835980196576941,4.697711982812039,4.767733244878715,4.772831659440365
18069968,65771837,11,4.64,4.581758971610766,4.6346702372887805,4.659102723322779,4.61598398019205
18474957,19126133,126,4.95,4.94392250514053,4.9024274054690755,4.89742479540931,4.9254759893602955
18664871,129714699,2,5,4.511575642435251,4.551646852197984,4.575122540204698,4.661055201745183
18561596,116814877,12,4.83,4.7574917394019405,4.673710554737039,4.673607742912465,4.754088872099937
18562704,27207608,1,5,4.233296162297537,4.498441461750166,4.503073729739215,4.61673799476552
19312346,15052672,34,4.85,4.826722253492592,4.762335801026439,4.8095840746157785,4.808836549439472
19233984,97425581,8,5,4.864729403310679,4.666901639843618,4.724774741102919,4.757453142873674
19501445,85656129,33,4.85,4.826276151264741,4.764227731980019,4.809152179559295,4.801718961369707
19660323,60390685,17,4.65,4.613652053454879,4.656692329003621,4.72759716380599,4.711969013364378
19715748,55457105,6,4.67,4.537874399239227,4.608359776964222,4.69494027651638,4.680245435405
19926109,59851139,15,4.93,4.868220288942781,4.7187211407805725,4.789344353175013,4.811215765199335
20029439,100265398,1,5,4.226784662972537,4.496834661000166,4.492808137899831,4.6175498089052835
20054230,37931850,9,4.78,4.686195322030489,4.645493293132642,4.74390854430286,4.7253052010133585
20241827,48854787,12,4.75,4.679853680551941,4.661058257837039,4.675390952770475,4.7275440405008275
20135116,129464509,15,4.27,4.257327272117781,4.563635236455572,4.495181217763761,4.578995475113876
20533518,2570062,48,4.71,4.698952311302369,4.719299807182674,4.758100321677434,4.7377497593285565
20163410,37931850,8,4.75,4.643338636310679,4.633743115593619,4.72673448660743,4.719062358836916
20589156,828813,12,5,4.912045992551941,4.708130942537039,4.770158444555603,4.800108247089828
20601309,44327462,11,5,4.897567073660766,4.70256295753878,4.760504108306529,4.79069201122956
20170556,50262317,1,5,4.211205956322537,4.496399225575166,4.500207891511561,4.617817932253951
20404330,56494911,20,4.65,4.621463937114233,4.6655558566349695,4.666466148115352,4.704209168262602
20445849,8990717,54,4.67,4.662432442097178,4.701095155146698,4.731611471052791,4.709890281028008
20790781,66183251,115,4.73,4.727595860403814,4.745125715817846,4.7429116688884045,4.749675708683606
21143765,138152991,1,4,3.7861852477225373,4.479284896800166,4.490841274088318,4.587972317477701
21144830,3267176,2,4.5,4.204039856760251,4.529513174072983,4.579734656064247,4.656568637249263
20806918,7234573,65,4.95,4.93873379700755,4.859820929468612,4.872186841245778,4.898101350499387
21063433,151767747,263,4.89,4.8884879736884175,4.879218587739147,4.884863987070965,4.886581116969321
20856115,149684986,35,4.94,4.916701910961131,4.80336760975295,4.814650687835145,4.829256866927154
20871097,95569557,1,5,4.231189839822537,4.501123759975166,4.492557069280653,4.616012646097781
21211840,153178478,6,4.83,4.669282767039227,4.626689118289222,4.695997202654194,4.709641533596034
20895963,9218614,6,4.17,4.1298065239392265,4.552702648239221,4.568273527082566,4.6009471618418925
21391335,154955327,35,4.74,4.728788854486131,4.71876037837795,4.7589775641764245,4.711648061982013
21294054,149684986,82,4.84,4.8333096678081375,4.806797743233622,4.833219025045089,4.865759715425515
21592553,65949259,4,5,4.7279657308979655,4.605273534195801,4.652708546719659,4.708340934799135
21763163,111758214,2,5,4.498160422235251,4.549941915597984,4.580572194800081,4.656536372687485
21801259,85656129,15,4.6,4.5628395551677805,4.645524314930572,4.606215607534903,4.763853062259326
21979807,3826558,21,4.38,4.36506360512384,4.58599533573002,4.585650627675214,4.595845726150046
22238833,162503659,297,4.79,4.789693552072693,4.7971773594374945,4.792939113388608,4.790414468408707
22722032,46164752,15,4.93,4.86742369689278,4.716838611980572,4.789488143770627,4.795538639420391
22731660,167791512,9,5,4.876900242555489,4.683328801007642,4.742420926386481,4.773453178087635
22755886,123486126,33,4.55,4.540214636364741,4.640491347080019,4.620153713860147,4.652210381166093
22786693,5084727,13,4.85,4.786298572466283,4.6897098687294445,4.773128478127999,4.755051872067855
22788922,46384040,1,5,4.222219470397537,4.497558335750166,4.499354096579564,4.616114790178884
22987867,168407586,14,4.5,4.462931686482578,4.616910060061599,4.59400130248637,4.651011782272123
22539027,45092292,89,4.24,4.239444755122829,4.426930237712895,4.350001383533114,4.578105033579534
23167253,126908133,276,4.46,4.460479000141951,4.5166586110155515,4.500110452106191,4.521912873855717
23231054,154955327,35,4.63,4.618100318436132,4.67295425080295,4.702208617172511,4.710278890113962
23424692,174706944,51,4.65,4.641811503833854,4.68957692139486,4.719882031617503,4.649613507102242
23262133,18402369,1,5,4.222495782072537,4.499933809350166,4.500652269125839,4.615935195159613
23352142,3551811,117,4.87,4.866393431649234,4.842143351936921,4.847835607050301,4.900480681393601
23492068,143393503,4,5,4.730529689272965,4.604789960920801,4.652403630549234,4.687968707091807
23814293,110653225,24,5,4.957315423014655,4.786933820634856,4.829152120407058,4.872533230109948
23850089,170152501,3,5,4.643513890601513,4.580983243766404,4.619626759186991,4.684864773597082
23976455,180338111,4,5,4.726076497872965,4.6067409612458015,4.654208151331191,4.708776565444087
23879786,178793141,2,4,3.889748043735251,4.509791384022984,4.571843941206385,4.596337736177462
23603957,86301216,8,4.88,4.757698033785679,4.652790275943619,4.725953062981208,4.737906342426967
23895665,1707708,36,4.75,4.731488335805917,4.727127240578278,4.763983856758764,4.759535487342576
23631479,35936798,16,5,4.932641767673393,4.744309304891436,4.7953592116083,4.824689847358507
24049088,181038306,9,4.44,4.385514966880489,4.595581647332642,4.626279019908392,4.641875676755417
24064226,180520548,6,4.67,4.544518208539227,4.605522489189221,4.694328907436328,4.6833040669837365
24072737,51350415,8,5,4.859657606335679,4.669544627443619,4.725296412501597,4.761681124259282
24332681,183587784,187,4.76,4.758781218768108,4.771117830767236,4.776961236436355,4.772812617795503
24484853,184954770,83,4.84,4.834069571375419,4.808376094546314,4.835704456042223,4.830002364194761
24778618,143393503,1,4,3.766771663047537,4.476535859175166,4.488102894803857,4.623608581972889
25099748,23150670,10,4.8,4.708727543476519,4.657533622512152,4.7503431039349,4.7316140354872545
25360795,73913867,18,5,4.941458227543203,4.75671386253046,4.805462786168385,4.837108840344723
25389885,174706944,90,4.63,4.62848500900947,4.6770838693696275,4.68699767518055,4.673904658240533
25444960,91221573,1,5,4.209359752047537,4.497162582100166,4.490559165844751,4.616387579661185
25452685,67929669,9,4.89,4.772538207130489,4.662756710807642,4.736205558702168,4.754886133547499
25646640,110653225,4,5,4.725292418822965,4.602800489195801,4.652304731051725,4.789357857114575
24909642,188318882,12,4.33,4.298279622551941,4.580034070162039,4.558302363360812,4.563188780672467
26025647,75414771,29,4.59,4.575753752178199,4.654219462664127,4.659373522648649,4.70626229072127
25809361,170006284,117,4.76,4.755215333149234,4.76534941406192,4.771500831080713,4.772285950907393
25875591,194427388,150,4.81,4.808639578471762,4.807527260992558,4.81512660292447,4.814096788748789
25885073,56484140,8,4.88,4.752281575010679,4.650815098693618,4.7247234389433,4.815339941546191
25928356,188318882,4,4,3.964003042597965,4.530494156145801,4.492208022266344,4.512905541354241
26148264,40885230,3,4.33,4.171707867101513,4.541504765366404,4.439121295296159,4.62373092273357
26152381,132857910,170,4.88,4.8781965806588605,4.861416494465607,4.868417040785197,4.882003999301912
25972545,164584916,14,5,4.924236191807578,4.727887864211599,4.7846697483992715,4.81128459346732
27079262,194143008,4,5,4.729699631172965,4.609711673945801,4.648368151382739,4.709522693495804
27390113,11194649,10,4.9,4.805911217301519,4.674183775937151,4.751352639099233,4.755864461717885
26922652,18983147,56,4.88,4.868564511508006,4.812940986157234,4.82168298939684,4.84765522544184
27423262,194048242,28,4.79,4.767305528795292,4.7286325136094165,4.788985653407499,4.7697603753849265
27423306,194048242,15,4.8,4.7428725892177805,4.686596451555572,4.707621859013282,4.741287832444699
27423325,194048242,1,5,4.215341217897537,4.494986352525166,4.489809901672015,4.6170857579831575
27423355,194048242,8,4.25,4.210839004435679,4.5628315149936185,4.469065616102892,4.709940066145687
27272939,17753454,1,5,4.220409726047537,4.494286647850166,4.507126547911408,4.6154766246334065
27497164,127704304,2,4,3.896844771360251,4.510429626222984,4.577733406298091,4.596718026813987
27694361,85656129,12,4.92,4.832607118876941,4.6973105998370395,4.766341413765861,4.75543649402643
27960986,3551811,59,4.95,4.93918756727979,4.854464146798814,4.864906860994429,4.87296259401558
27700773,140378598,10,4.9,4.805615347401519,4.674975166687152,4.746536452240897,4.758105728441181
28064534,8990717,40,4.68,4.667112611676947,4.698017492332786,4.724135707142701,4.696171199955389
28274989,39262638,1,5,4.197413010197537,4.495200743025166,4.495868491684514,4.619058191714178
28376631,104910912,14,5,4.917911765732578,4.727221492636599,4.783004110972709,4.808708128383676
28838432,42102470,19,4.58,4.550612685647854,4.644340122987053,4.658356640427417,4.675864989108435
28476583,97874184,57,4.81,4.79521554972683,4.775139161428291,4.78248768979312,4.667221720421898
28513315,97874184,78,4.67,4.666026229257972,4.7020142735685,4.722877512445276,4.677683423757906
29327045,190547806,3,4.67,4.419608074576513,4.558593406241404,4.612944565353086,4.656383090682293
29064798,13363520,73,4.81,4.802220500849085,4.784120332788533,4.819399103305988,4.8312179006839875
29065049,13363520,123,4.85,4.8448309867244,4.830376933927042,4.830531981358786,4.855111117075412
28682069,17915643,60,4.97,4.956972368493209,4.866483893151207,4.896171915336065,4.90860811057194
30259828,226522409,88,4.24,4.246075621948908,4.428195183007233,4.3442705386033245,4.339233606273629
29655783,156649285,3,5,4.641213601526513,4.578188067441404,4.620204099946058,4.686618019906425
30043874,224769335,8,4.13,4.104347410935679,4.5494150147936185,4.466433391170127,4.582467663566969
29730842,95744828,2,5,4.504987101235251,4.548323409772983,4.580557560592904,4.661454371564432
30309527,227629520,6,5,4.819627786164227,4.642352903389222,4.697452914657222,4.738178834891283
29793118,224144264,33,4.82,4.801163812889741,4.749293397755018,4.808547944649407,4.792882899529798
29796488,224171102,8,5,4.861842891385679,4.666936249693618,4.72588797190521,4.760876753295809
30349553,90565975,35,4.74,4.721591541336132,4.72287667052795,4.759550898549143,4.711618780118677
30349944,226522409,155,4.35,4.351931080378769,4.45905617944616,4.419969822944073,4.36710989902607
30516718,13363520,164,4.85,4.849223725145852,4.836818781681439,4.847112438413364,4.867572499016639
30375452,27316546,2,5,4.518735414985251,4.546985995122983,4.574638581199427,4.660244946639855
31432619,30431448,3,4.67,4.409550373176513,4.562216923216404,4.620725539944041,4.655089469997233
30882894,35649903,1,5,4.228368364897537,4.495433449650166,4.5015055793679055,4.615852174469652
31264841,3551811,90,4.87,4.86300245015947,4.834939301694628,4.844339652562489,4.889617868409375
31825571,238510834,7,5,4.840504682719864,4.656251910138781,4.713540161692901,4.723579571876719
31831445,19222134,7,4.86,4.727114156094864,4.639947409388782,4.7149292850966935,4.722803595999277
32249790,81249253,17,4.94,4.877164013704879,4.730741108078622,4.804703963472394,4.809562549435146
32257079,221664304,17,5,4.940238548579878,4.748574038853621,4.803913894049606,4.830472772448757
31636091,12914249,2,4.5,4.196263184060251,4.529705022347984,4.581094132031721,4.624922623132665
31985487,40265421,5,5,4.7756738547388045,4.622441935839334,4.672751915841649,4.723116538062204
31683463,2413279,36,4.89,4.871105575655917,4.7861207477532774,4.818834685904429,4.834268086880593
31715264,45671985,4,4.75,4.524752586497965,4.584536606695801,4.648989009736517,4.677918077221009
32122892,238510834,16,4.69,4.649830204798393,4.664014431816436,4.71620804795167,4.759914382156785
32446274,48713321,1,5,4.210761711872537,4.4959153844251665,4.496661688590495,4.615940206009609
32206497,21048793,20,5,4.952776620364233,4.767206528359969,4.814693304204589,4.864533708889413
32713785,386025,1,5,4.219290114247537,4.499420461875166,4.4970524094867175,4.614653105434888
33239653,21048793,39,4.92,4.897675411120258,4.805948742445683,4.824924835085043,4.894502285562324
32827899,223376774,1,4,3.7821551693975373,4.480713386550166,4.496996850128485,4.585430263229825
33493385,160081272,11,4.73,4.660587035935766,4.65298725043878,4.6644600124819,4.719022418660052
33603244,193815540,56,4.75,4.740689563608006,4.742383377532234,4.737215289917348,4.652956745146799
32937113,38949319,21,4.95,4.90236460889884,4.7566952881050195,4.817982174040496,4.827237317020025
33899692,13437657,59,4.97,4.9579560182797895,4.865650420823814,4.89557488692052,4.9105375608470885
32983832,248236643,104,4.97,4.967174222854425,4.909420327572898,4.904084751204411,4.934078477197652
33030471,45092292,13,4.54,4.493778902691282,4.619676300229445,4.683617927779607,4.502883100271119
33772803,59851139,3,5,4.651914624801513,4.578433724791404,4.621967068368164,4.73703745151226
33040680,84451866,19,4.68,4.646382777447854,4.671717382662053,4.656024589678795,4.7179449029205784
34148772,45092292,39,4.82,4.799581775645258,4.7599838038456825,4.775148594526211,4.557453085384471
34229954,19634309,8,5,4.861799599660679,4.671893949393619,4.723287562884415,4.761057636360684
34388314,253015228,17,4.47,4.440557073129878,4.611542856803622,4.629851066411097,4.411431483502599
34388714,253015228,49,4.41,4.407306244117191,4.5704527070023975,4.544821202733456,4.458392611118202
34854501,76925488,29,5,4.970301114703199,4.806767026939127,4.848167169065521,4.8754040622441535
34428834,45092292,19,5,4.947974488272854,4.762052413437053,4.8081284786467995,4.5238595805507265
34462115,260131207,258,4.72,4.718676043828335,4.738487788097611,4.737555323682853,4.735743440953816
34931236,4966667,1,5,4.222774369672537,4.495559765000166,4.502227917966728,4.616923191739634
35090965,6967132,1,5,4.2285375881225375,4.496988957675166,4.499449032163314,4.616503014743766
34974850,27348595,31,4.87,4.843235874237502,4.764585183756992,4.8006804364383795,4.81607487587967
35125915,70552529,2,5,4.513364323135251,4.549270992822984,4.5699295946110885,4.654431868263364
35635108,53807062,26,4.73,4.704553920478997,4.702128473202262,4.715026763436453,4.785011283437651
36234672,37042213,25,4.8,4.7734807986800725,4.723448923428502,4.775028705131828,4.773962328325137
36515148,54049469,2,5,4.503425883985251,4.549483985697984,4.576828389060826,4.658313683306516
